Municipality,Gouvernerat,Population
نفزة,ولاية باجة,7302
طوزة,ولاية المنستير,7236
جمنة,ولاية قبلي,7194
جبنيانة,ولاية صفاقس,7190
منزل بوزيان,ولاية سيدي بوزيد,7113
الصمعة,ولاية نابل,7017
تلابت,ولاية القصرين,6932
زاوية قنطش,ولاية المنستير,6713
ملولش,ولاية المهدية,6704
برج العامري,ولاية منوبة,6519
سبيبة,ولاية القصرين,6504
بئر الحفي,ولاية سيدي بوزيد,6475
ماجل بلعباس,ولاية القصرين,6471
البطان,ولاية منوبة,6453
حامة الجريد,ولاية توزر,6439
ساقية سيدي يوسف,ولاية الكاف,6335
رمادة,ولاية تطاوين,6289
عميرة التوازرة,ولاية المنستير,6261
بوحجر,ولاية المنستير,6137
سيدي بو سعيد,ولاية تونس,5911
القصور,ولاية الكاف,5852
جلمة,ولاية سيدي بوزيد,5821
لمطة,ولاية المنستير,5790
شربان,ولاية المهدية,5700
سجنان,ولاية بنزرت,5645
الزارات,ولاية قابس,5627
السواسي,ولاية المهدية,5381
غار الملح,ولاية بنزرت,5345
جبل الوسط,ولاية زغوان,5325
عميرة الفحول,ولاية المنستير,5255
منزل حر,ولاية نابل,5243
عمدون,ولاية باجة,5204
عوسجة,ولاية بنزرت,5126
أولاد الشامخ,ولاية المهدية,5120
الغنادة,ولاية المنستير,5100
أزمور,ولاية نابل,5054
نصر الله,ولاية القيروان,5012
السلوقية,ولاية باجة,قالب:5010:formatnum
برقو,ولاية سليانة,4916
بئر علي,ولاية صفاقس,4905
المسدور,ولاية المنستير,4705
الروحية,ولاية سليانة,4675
دار علوش,ولاية نابل,4558
سيدي بنور,ولاية المنستير,4520
شراحيل,ولاية المنستير,4406
جدليان,ولاية القصرين,4352
بومرداس,ولاية المهدية,4338
الذهيبة,ولاية تطاوين,4295
الميدة,ولاية نابل,4155
قبلاط,ولاية باجة,4128
منزل المهيري,ولاية القيروان,3870
فرنانة,ولاية جندوبة,3831
كندار,ولاية سوسة,3804
منزل فارسي,ولاية المنستير,3603
قربص,ولاية نابل,3532
حيدرة,ولاية القصرين,3451
السبالة,ولاية سيدي بوزيد,3361
نبر,ولاية الكاف,3299
العلا,ولاية القيروان,3276
سيدي بورويس,ولاية سليانة,3258
الغريبة,ولاية صفاقس,3251
هبيرة,ولاية المهدية,3248
بني خداش,ولاية مدنين,2930
الشبيكة,ولاية القيروان,2921
العروسة,ولاية سليانة,2905
سيدي الهاني,ولاية سوسة,2706
كسرة,ولاية سليانة,2602
القلعة الخصبة,ولاية الكاف,2558
أولاد حفوز,ولاية سيدي بوزيد,2494
وادي مليز,ولاية جندوبة,2388
تمغزة,ولاية توزر,2334
منزل شاكر,ولاية الكاف,2278
طويرف,ولاية الكاف,2178
مطماطة,ولاية قابس,1847
منزل سالم,ولاية الكاف,1824
عين جلولة,ولاية القيروان,1757
الشراردة,ولاية القيروان,1705
بني مطير,ولاية جندوبة,784
الزهور,ولاية القصرين,na
العيون,ولاية القصرين,na
النور,ولاية القصرين,na
حاسي الفريد,ولاية القصرين,na
تيبار,ولاية باجة,na
أوتيك,ولاية بنزرت,na
جومين,ولاية بنزرت,na
غزالة,ولاية بنزرت,na
الصمار,ولاية تطاوين,na
حزوة,ولاية توزر,na
بلطة بوعوان,ولاية جندوبة,na
صواف,ولاية زغوان,na
السعيدة,ولاية سيدي بوزيد,na
سوق الجديد,ولاية سيدي بوزيد,na
العامرة,ولاية صفاقس,na
منزل الحبيب,ولاية قابس,na
الفوار,ولاية قبلي,na
بلخير,ولاية قفصة,na
سيدي عيش,ولاية قفصة,na
سيدي مخلوف,ولاية مدنين,na
المنيهلة,ولاية أريانة,na
الأحواز - الأسودة,ولاية سيدي بوزيد,na
بوشمة,ولاية قابس,na
تبلبو,ولاية قابس,na
جرجيس الشمالية,ولاية مدنين,na
لالة,ولاية قفصة,na
رجيم معتوق,ولاية قبلي,na
نعسان,ولاية بن عروس,na
البساتين,ولاية منوبة,na
الحشاشنة,ولاية بنزرت,na
فندق الجديد - سلتان,ولاية نابل,na
تزغران - زاوية المقايز,ولاية نابل,na
سيدي الجديدي,ولاية نابل,na
بوشراي - الشريفات,ولاية نابل,na
العمايم,ولاية زغوان,na
وشتاتة - الجميلة,ولاية باجة,na
سيدي اسماعيل,ولاية باجة,na
الملقى - التطور,ولاية جندوبة,na
القلعة - المعدن - فرقصان,ولاية جندوبة,na
الجواودة,ولاية جندوبة,na
عين الصبح - الناظور,ولاية جندوبة,na
الخمايرية,ولاية جندوبة,na
زعفرانة - دير الكاف,ولاية الكاف,na
بهرة,ولاية الكاف,na
المرجى,ولاية الكاف,na
سيدي مرشد,ولاية سليانة,na
الحبابسة,ولاية سليانة,na
الشرايع - مشرق الشمس,ولاية القصرين,na
الرخمات,ولاية القصرين,na
عين الخمايسية,ولاية القصرين,na
خمودة,ولاية القصرين,na
بوزقام,ولاية القصرين,na
بنور,ولاية سيدي بوزيد,na
باطن الغزال,ولاية سيدي بوزيد,na
رحال,ولاية سيدي بوزيد,na
المنصورة,ولاية سيدي بوزيد,na
سيسب - الدريعات,ولاية القيروان,na
جهينة,ولاية القيروان,na
رقادة,ولاية القيروان,na
عبيدة,ولاية القيروان,na
الشرائطية - القصور,ولاية القيروان,na
العين البيضاء,ولاية القيروان,na
شواشي,ولاية القيروان,na
القريمات - هيشر,ولاية سوسة,na
شط مريم,ولاية سوسة,na
سيدي زيد - أولاد مولاهم,ولاية المهدية,na
الحكائمة,ولاية المهدية,na
تلالسة,ولاية المهدية,na
زالبة,ولاية المهدية,na
العوابد - الخزانات,ولاية صفاقس,na
الناظور - سيدي علي بن عابد,ولاية صفاقس,na
الحاجب,ولاية صفاقس,na
حزق - اللوزة,ولاية صفاقس,na
الأعشاش,ولاية صفاقس,na
النصر,ولاية صفاقس,na
سيدي بوبكر,ولاية قفصة,na
زانوش,ولاية قفصة,na
بشلي - الجرسين - البليدات,ولاية قبلي,na
بشري - فطناسة,ولاية قبلي,na
الحبيب ثامر - بوعطوش,ولاية قابس,na
كتانة,ولاية قابس,na
دخيلة توجان,ولاية قابس,na
بوغرارة,ولاية مدنين,na
شنني - دويرات,ولاية تطاوين,na
